"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001000121",40.7598453883571,-0.606784421359276,0.43027384524675,-1.40840494058371,0.159011197106112,0.266920550704759
"NM_001000750",79.8521988645454,-2.9209058391112,0.360496050068511,-7.84462478585971,4.34249902007794e-15,9.29222696738098e-14
"NM_001000913",16.3727743411188,0.0491785929483343,0.456784894612916,0.108407376114732,0.91367255032693,0.943802336481766
"NM_001001504",666.305108703602,0.0506517538709054,0.127997600308403,0.39572495132069,0.692307946473171,0.788758378237486
"NM_001001505",4513.99189200923,-0.941448825454581,0.173330367472079,-5.43134873809477,5.59297123838134e-08,5.14755162171644e-07
"NM_001001507",763.013105644359,-0.0468864610466731,0.172357028795782,-0.272012882422722,0.785612113958505,0.855920123750378
"NM_001001509",5022.74049706398,-1.20639896460915,0.232651139252868,-5.18529608457165,2.15671949724773e-07,1.77730276723192e-06
"NM_001001511",184.138063959448,1.15264676903032,0.266627078869505,4.32206861056123,1.54573102271862e-05,9.12867499800695e-05
"NM_001001512",3565.32355469957,-0.413260893897052,0.121982146382012,-3.38784573295256,0.000704438732067756,0.00279609193651051
"NM_001001513",230.147434583732,-0.386790045845472,0.189740927043506,-2.03813758463305,0.0415361753503584,0.0908384018482086
"NM_001001515",525.269851641798,0.218469614593644,0.234646196566802,0.931011890173611,0.351847413658074,0.487751208918083
"NM_001001517",1547.5543578898,0.25275613387851,0.181412776850862,1.3932579691472,0.163541795701334,0.272784673658626
"NM_001001718",542.675959048509,0.385798818744972,0.163119512527828,2.36514047990981,0.0180232329362358,0.0455706618942398
"NM_001001719",76.3244228960653,-2.41564271145603,0.319920036642712,-7.4165546668124,1.20206278741066e-13,2.2435015054931e-12
"NM_001001720",65.1663657845541,-0.588839733726185,0.296233580517356,-1.98459571562722,0.0471894694028216,0.100685278970808
"NM_001001800",808.734651578259,-0.898708737478204,0.178333418206706,-5.03840722966984,4.69421849739981e-07,3.67342313825012e-06
"NM_001001801",87.173498642678,0.267109112598146,0.2530446291802,1.05506983873633,0.291393385097455,0.423856881924565
"NM_001002016",2614.60237040078,0.791447298328455,0.123917723292821,6.38667352944838,1.69533033697525e-10,2.18556845968903e-09
"NM_001002022",1330.70274720588,0.0937401384353787,0.130371493975911,0.719010306724903,0.472134569262407,0.604403265576961
"NM_001002253",562.604259418909,-0.737152258056771,0.170372877028454,-4.32639136306765,1.51572020951852e-05,8.96131931819642e-05
"NM_001002277",175.851898712036,0.172014574639749,0.240044345519648,0.716763291091556,0.473520165811101,0.605782366412028
"NM_001002278",427.805115403838,-0.287827220939027,0.195427981242202,-1.47285574172556,0.140789938167697,0.242450186077888
"NM_001002279",199.646541910283,-0.412412246682014,0.18260555167798,-2.25781513822317,0.0239571870300204,0.0579203679520576
"NM_001002289",308.763263959351,-0.0141451821860504,0.203681566044668,-0.0694364103721492,0.944642247560341,0.964433285725219
"NM_001002798",726.259339769432,0.395490318431261,0.138372155095407,2.85812646272462,0.00426150516380387,0.0135833099731719
"NM_001002802",141.327849796207,-0.284372477122592,0.255985519450506,-1.1108962491506,0.266613010191628,0.396642852129276
"NM_001002804",1572.94098763102,-0.6000962809256,0.190843893938747,-3.14426386046519,0.00166505232400657,0.00599194681658485
"NM_001002805",873.570555776916,0.387831171607749,0.2248999042389,1.72440008023589,0.0846356431020706,0.161212443815155
"NM_001002807",502.29263292054,0.541591909349469,0.228848056930134,2.36628943722116,0.017967391543936,0.0454565013375671
"NM_001002809",1539.08351306949,-0.0307930603788057,0.125346953037522,-0.245659833693906,0.805945567532324,0.869618898462408
"NM_001002818",268.50559915854,0.50293416504613,0.192222179995665,2.61679708566399,0.00887590878708209,0.0252892582010666
"NM_001002819",58.7548506565022,0.283497418447603,0.343122890834981,0.828667663322316,0.407292488548744,0.543784201124463
"NM_001002823",49.7891068517659,0.483260018249772,0.311096854174077,1.55430600689859,0.120111441365788,0.213215223090587
"NM_001002826",10919.2323679391,-1.73496421276146,0.119306761030436,-14.5414588203812,6.61673793795326e-48,1.18141855882156e-45
"NM_001002827",155.718608044821,0.203995047214037,0.250552289661284,0.813998953935435,0.415645550228335,0.552252360113624
"NM_001002828",774.965478296411,0.389619301139596,0.228648577489929,1.70384192741602,0.0884106226435042,0.166721175916187
"NM_001002829",20.835174118184,-1.69040134741919,0.410952716859758,-4.01558601014034,5.92982676386042e-05,0.000310186690045101
"NM_001002831",1606.34381141407,-0.873822956979326,0.141417633055124,-6.17855113524396,6.46925360051812e-10,7.7783517196802e-09
"NM_001002835",1169.20856587435,-0.455203349975471,0.153960903150497,-2.95653059258635,0.00311121365851321,0.0103254126157534
"NM_001002851",226.277389159465,0.369879201062703,0.173569057683485,2.13130845508456,0.0330637389683674,0.0753642203336425
"NM_001002853",56.5790435545852,-0.437596099879471,0.344249807628895,-1.26828848876505,0.204694946352193,0.325027998347057
"NM_001002854",799.657388661653,0.0620472260228168,0.177524364657917,0.349532552898282,0.726689536360175,0.813397241983759
"NM_001003401",1031.70262785366,1.35691512423793,0.289379595574511,4.6879373266753,2.75972501199267e-06,1.8688327467432e-05
"NM_001003402",428.771015319598,-0.952128212844392,0.178339250717282,-5.33757468941116,9.41981034734996e-08,8.2716744468164e-07
"NM_001003403",273.35153974838,-0.546824550306545,0.45801133188812,-1.19539258351762,0.2319336819608,0.356536882600954
"NM_001003409",21.9224083011314,-1.52386992371105,0.426289290070198,-3.52185415383973,0.000428539836611827,0.00180178464270899
"NM_001003673",2415.01795852677,0.041189840425784,0.119912324930537,0.343500302133272,0.731222113570217,0.816273072770377
"NM_001003705",572.523289345118,1.17772492542633,0.18525351010017,6.35537985785955,2.0791219487399e-10,2.63593295110657e-09
"NM_001003706",1330.96816418481,2.63133577383662,0.170350824732356,15.4363554595724,9.3221163773201e-54,2.32101693839116e-51
"NM_001003708",293.46067504396,0.522851831663023,0.216471118540701,2.41466908232143,0.0157495112029403,0.0407252023937
"NM_001003709",2042.81208441378,-0.170673586506471,0.145518552373385,-1.17285613520716,0.240853502535652,0.367192766851351
"NM_001003711",52.8449781495794,-2.73707395075357,0.405073426918196,-6.49987158054199,8.03886049040193e-11,1.09151219814545e-09
"NM_001003958",81.2835304835127,0.527157142671571,0.263818318765706,1.99945648148743,0.0455589859838496,0.0978299091691684
"NM_001003959",262.62858688358,-1.51123142700051,0.194843896880708,-7.74387775791955,9.64297229642212e-15,1.98663773483789e-13
"NM_001003974",52.3176520384318,-0.810411748260674,0.301950424467673,-2.67658611849879,0.00743764488002509,0.0218240179676003
"NM_001003975",279.864405971897,0.0355180180476912,0.183729442378293,0.193281655335607,0.846738392363148,0.897773990240143
"NM_001003978",3386.52763735376,-0.0725290389711958,0.126467208602499,-0.573495631222264,0.566309156298804,0.689573765790986
"NM_001004068",686.889957607487,0.474233256254211,0.173257922946953,2.73743012824926,0.00619212723884988,0.0186968035822432
"NM_001004072",3656.14539003995,0.983217777942594,0.178619950379785,5.50446602274783,3.70288864331994e-08,3.51053504742358e-07
