"","SRR1178035","SRR1178074","SRR1178075","SRR1178029","SRR1178039","SRR1178055"
"NM_001000121",31.5511498147344,24.6717408773673,100.556695851995,19.3756555787696,24.4947739364823,43.9090562707935
"NM_001000750",128.308009246587,175.029708865851,139.97949138488,4.84391389469241,22.4535427751088,8.49852702015358
"NM_001000913",25.2409198517875,11.6376136213997,11.998242118704,32.6964187891738,8.1649246454941,8.49852702015358
"NM_001001504",660.470736121774,645.189299170399,658.760626803128,697.523600835707,697.080441609059,638.805947681544
"NM_001001505",5393.14320833194,5424.52446120682,7134.9546465893,3538.4791000728,2952.6408749268,2640.20906092771
"NM_001001507",662.574146109423,723.859567251061,937.005574984501,794.401878729555,756.276145288891,703.961321502722
"NM_001001509",5205.93971943118,8416.32217099626,7765.14803025265,2265.74072424237,2617.87896446155,3865.41337299985
"NM_001001511",117.790959308342,122.427695297125,85.1303845565187,237.351780839928,190.855113588425,351.272450166348
"NM_001001512",3979.65169663183,4382.72528981912,3878.86027351816,2826.42375755302,3086.34151599677,3237.93879467852
"NM_001001513",265.029658443769,269.992636016473,252.534429355579,221.609060682178,210.246809621473,161.472013382918
"NM_001001515",420.681997529792,587.466735608256,436.507475175706,584.902602784108,401.101923209898,720.958375543029
"NM_001001517",1398.76764178656,1269.89639836713,1552.91533707797,2042.92068508652,1673.80955232629,1347.01653269434
"NM_001001718",473.267247221016,437.574272164628,494.78465118084,716.899256414477,579.709649830081,553.820677480008
"NM_001001719",109.377319357746,115.910631669141,174.260183152605,14.5317416840772,18.3710804523617,25.4955810604608
"NM_001001720",71.5159395800647,82.8598089843658,85.1303845565187,61.7599021573282,57.1544725184587,32.5776869105887
"NM_001001800",889.742424775511,1127.91751218606,1164.40083037708,641.818591046744,558.276722635659,470.251828448498
"NM_001001801",63.1022996294688,84.7218271637898,85.1303845565187,112.620998051599,93.8966334231822,83.5688490315102
"NM_001002016",1745.83028974864,2039.84091555894,1915.71932495307,3488.82898265221,3122.06306132081,3375.331648171
"NM_001002022",1182.11641305872,1413.27179818278,1258.67273273833,1381.72643846101,1320.67656140867,1427.7525393858
"NM_001002253",795.088975331307,698.256817283981,632.478763114538,385.091154628047,381.710227176849,482.999618978729
"NM_001002277",185.100078913109,175.495213410707,134.837387619721,138.051545998734,202.081884975979,219.545281353968
"NM_001002278",551.093416764028,425.936658543229,445.077648117638,363.293542101931,461.318242470417,320.111184425785
"NM_001002279",216.651228727843,231.355758793426,238.822152648489,176.802857156273,182.690188942931,151.557065192739
"NM_001002289",254.512608505524,332.835749572031,339.378848500484,249.461565576659,319.452676754957,356.938134846451
"NM_001002798",609.988896418199,638.206730997559,625.622624760993,739.907847414265,861.399550099628,882.430388925947
"NM_001002802",159.859159061321,163.857599789308,145.121595150039,163.482093945869,86.7523243583748,128.894326472329
"NM_001002804",1758.45074967453,1761.46919773506,2207.67654984153,1516.14504903872,1216.57377217862,977.330607317662
"NM_001002805",742.503725640083,676.843608220606,830.164085641756,930.031467780943,1345.17133534515,716.709112032952
"NM_001002807",363.88992786327,412.437026742405,431.365371410548,779.870137045478,615.431195154118,410.762139307423
"NM_001002809",1472.38699135427,1581.78444342065,1609.47847849472,1395.04720167141,1555.41814496663,1620.38581850928
"NM_001002818",248.202378542577,182.943286128403,233.108704020534,282.157984365833,338.844372788005,325.776869105887
"NM_001002819",79.9295795306605,33.9818317744871,45.1362441608388,69.0257729993668,47.9689322922778,76.4867431813823
"NM_001002823",42.0681997529792,33.9818317744871,45.1362441608388,52.0720743679434,48.9895478729646,76.4867431813823
"NM_001002826",16652.6968722168,16308.9517290295,17646.5574322996,4789.41986337712,4656.04827909301,5461.7200316187
"NM_001002827",119.894369295991,149.426958898772,159.405216719924,216.765146787485,124.515100843785,164.304855722969
"NM_001002828",563.713876689922,609.345449216488,817.023153797461,1095.93551867416,934.883871909075,628.890999491365
"NM_001002829",37.8613797776813,34.4473363193431,31.4239674537485,4.84391389469241,5.10307790343381,11.3313693602048
"NM_001002831",1989.82584831592,1882.03487485276,2393.36363025004,1126.20998051599,1113.49159852926,1133.13693602048
"NM_001002835",1335.66534215709,1192.15713937618,1543.20247441045,894.913092044423,994.079575588907,1055.23377166907
"NM_001002851",212.444408752545,185.270808852683,193.68590848765,260.360371839717,236.782814719329,269.120022304863
"NM_001002853",37.8613797776813,87.9803589777817,71.9894527122239,62.9708806310013,41.8452388081573,36.8269504206655
"NM_001002854",832.950355108989,781.116626268347,731.892769240942,742.329804361612,701.162903931806,1008.49187305823
"NM_001003401",412.268357579196,857.924876169585,329.094640970166,1712.32356177377,1583.99538122586,1294.6089494034
"NM_001003402",628.919586307039,542.312794757226,540.492240204474,247.039608629313,272.504360043366,341.357501976169
"NM_001003403",180.893258937811,741.083235410732,141.693525973266,179.224814103619,210.246809621473,186.967594443379
"NM_001003409",52.585249691224,27.4647681465033,28.5672431397714,10.8988062630579,9.18554022618086,2.83284234005119
"NM_001003673",2399.99079590746,2326.12621064537,2414.50339017348,2222.14549919014,2567.86880100789,2559.47305423625
"NM_001003705",294.477398270855,312.353549598368,417.081749840662,748.384696729977,902.224173327098,760.618168303746
"NM_001003706",389.130847715058,330.508226847751,335.950779323711,1889.12641893004,2399.46723019458,2641.62548209774
