"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001000750",79.8521988645454,-2.9209058391112,0.360496050068511,-7.84462478585971,4.34249902007794e-15,9.29222696738098e-14
"NM_001001505",4513.99189200923,-0.941448825454581,0.173330367472079,-5.43134873809477,5.59297123838134e-08,5.14755162171644e-07
"NM_001001509",5022.74049706398,-1.20639896460915,0.232651139252868,-5.18529608457165,2.15671949724773e-07,1.77730276723192e-06
"NM_001001511",184.138063959448,1.15264676903032,0.266627078869505,4.32206861056123,1.54573102271862e-05,9.12867499800695e-05
"NM_001001512",3565.32355469957,-0.413260893897052,0.121982146382012,-3.38784573295256,0.000704438732067756,0.00279609193651051
"NM_001001718",542.675959048509,0.385798818744972,0.163119512527828,2.36514047990981,0.0180232329362358,0.0455706618942398
"NM_001001719",76.3244228960653,-2.41564271145603,0.319920036642712,-7.4165546668124,1.20206278741066e-13,2.2435015054931e-12
"NM_001001800",808.734651578259,-0.898708737478204,0.178333418206706,-5.03840722966984,4.69421849739981e-07,3.67342313825012e-06
"NM_001002016",2614.60237040078,0.791447298328455,0.123917723292821,6.38667352944838,1.69533033697525e-10,2.18556845968903e-09
"NM_001002253",562.604259418909,-0.737152258056771,0.170372877028454,-4.32639136306765,1.51572020951852e-05,8.96131931819642e-05
"NM_001002798",726.259339769432,0.395490318431261,0.138372155095407,2.85812646272462,0.00426150516380387,0.0135833099731719
"NM_001002804",1572.94098763102,-0.6000962809256,0.190843893938747,-3.14426386046519,0.00166505232400657,0.00599194681658485
"NM_001002807",502.29263292054,0.541591909349469,0.228848056930134,2.36628943722116,0.017967391543936,0.0454565013375671
"NM_001002818",268.50559915854,0.50293416504613,0.192222179995665,2.61679708566399,0.00887590878708209,0.0252892582010666
"NM_001002826",10919.2323679391,-1.73496421276146,0.119306761030436,-14.5414588203812,6.61673793795326e-48,1.18141855882156e-45
"NM_001002829",20.835174118184,-1.69040134741919,0.410952716859758,-4.01558601014034,5.92982676386042e-05,0.000310186690045101
"NM_001002831",1606.34381141407,-0.873822956979326,0.141417633055124,-6.17855113524396,6.46925360051812e-10,7.7783517196802e-09
"NM_001002835",1169.20856587435,-0.455203349975471,0.153960903150497,-2.95653059258635,0.00311121365851321,0.0103254126157534
"NM_001003401",1031.70262785366,1.35691512423793,0.289379595574511,4.6879373266753,2.75972501199267e-06,1.8688327467432e-05
"NM_001003402",428.771015319598,-0.952128212844392,0.178339250717282,-5.33757468941116,9.41981034734996e-08,8.2716744468164e-07
"NM_001003409",21.9224083011314,-1.52386992371105,0.426289290070198,-3.52185415383973,0.000428539836611827,0.00180178464270899
"NM_001003705",572.523289345118,1.17772492542633,0.18525351010017,6.35537985785955,2.0791219487399e-10,2.63593295110657e-09
"NM_001003706",1330.96816418481,2.63133577383662,0.170350824732356,15.4363554595724,9.3221163773201e-54,2.32101693839116e-51
"NM_001003708",293.46067504396,0.522851831663023,0.216471118540701,2.41466908232143,0.0157495112029403,0.0407252023937
"NM_001003711",52.8449781495794,-2.73707395075357,0.405073426918196,-6.49987158054199,8.03886049040193e-11,1.09151219814545e-09
"NM_001003959",262.62858688358,-1.51123142700051,0.194843896880708,-7.74387775791955,9.64297229642212e-15,1.98663773483789e-13
"NM_001003974",52.3176520384318,-0.810411748260674,0.301950424467673,-2.67658611849879,0.00743764488002509,0.0218240179676003
"NM_001004068",686.889957607487,0.474233256254211,0.173257922946953,2.73743012824926,0.00619212723884988,0.0186968035822432
"NM_001004072",3656.14539003995,0.983217777942594,0.178619950379785,5.50446602274783,3.70288864331994e-08,3.51053504742358e-07
"NM_001004078",5268.69149722902,0.531630405019535,0.124400337395411,4.27357464142937,1.9236384780178e-05,0.000111756719170307
"NM_001004081",228.202151905345,1.22454874540992,0.198397384732639,6.16846334359234,6.89568310314523e-10,8.26324978568175e-09
"NM_001004082",27705.3038568346,0.52022479374635,0.134330525983923,3.8727273394408,0.000107624207895681,0.000527678782236351
"NM_001004083",2063.78107508301,-0.569416024716925,0.113667849801838,-5.00933925190921,5.46172232464675e-07,4.20945548661443e-06
"NM_001004085",5328.10854929133,2.35550202266909,0.230398070067166,10.2229286851855,1.56538605063136e-24,7.55404538757378e-23
"NM_001004086",5386.07409291725,-1.36310610529736,0.113207639967428,-12.0401513725505,2.18554246265778e-33,1.91915708216826e-31
"NM_001004087",32.0723070591815,-1.49070536184027,0.416987443831825,-3.54860282489871,0.000387280756134234,0.00164967743159684
"NM_001004089",517.232488795133,-0.786254794070794,0.195806112595478,-4.0143477303878,5.96104113848173e-05,0.000311363401835957
"NM_001004099",1876.44718543615,0.679063750247314,0.199840421576877,3.39804823859181,0.000678684518823233,0.00270690515642341
"NM_001004199",5037.76259675699,0.43840616296057,0.118268651606832,3.70685874843479,0.00020984590423785,0.000955409762898466
"NM_001004202",1312.90132109953,-0.789124258733707,0.18537308664793,-4.25646700302853,2.07682671587343e-05,0.000119361827291588
"NM_001004203",416.510784459144,-0.564509922834392,0.1872204557118,-3.01504510402864,0.00256941042904813,0.00875002923296905
"NM_001004206",1672.02968070595,0.570223004026026,0.106724163736775,5.34293277325947,9.14546882246604e-08,8.06381954692005e-07
"NM_001004209",9481.34405352617,-0.482222286229244,0.165214057634635,-2.91878057623245,0.00351403479539944,0.0114773947448519
"NM_001004211",969.900414247853,0.731590377851581,0.155059516895999,4.71789529179954,2.38297078358338e-06,1.63436402077649e-05
"NM_001004212",226.227786566033,0.87005589264931,0.212779829245473,4.08725549554266,4.3650632125098e-05,0.000234635836405507
"NM_001004213",3428.22674420636,-0.295736964485013,0.114692325242132,-2.57850130306113,0.00992299254945388,0.0276763913518093
"NM_001004214",1071.03314647393,-1.13936404225712,0.133544299260605,-8.53032225439579,1.45940604997492e-17,3.86039926256328e-16
"NM_001004217",338.499244705667,0.473462472215199,0.171267097412809,2.76429976886565,0.0057045105932845,0.0174010313171574
"NM_001004220",4975.50609958129,-0.335946990283237,0.138627347856129,-2.42338418592683,0.0153766553397546,0.0399152189616649
